"Name","CtrlIndex","Method","Class","Superclass","Parameters"
"shareAppMessageForFakeNative","0x24d","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/share/x, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/share/c0>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""rendererOptions"":""JSONObject"",""videoThumbPath"":""String"",""liteAppQuery"":""String"",""videoMD5"":""String"",""singlePage"":""JSONObject"",""signature"":""String"",""openId"":""String"",""link"":""String"",""defaultHintUrl"":""String"",""liteAppBizData"":""String"",""skyline"":""JSONObject"",""sdkVersionEnd"":""String"",""type"":""String"",""title"":""String"",""sdkVersionBegin"":""String"",""liteAppPath"":""String"",""mode"":""String"",""path"":""String"",""chatroomUsername"":""String"",""playDesc"":""String"",""androidVersionEnd"":""String"",""cacheKey"":""String"",""imageUrl"":""String"",""messageExtraData"":""String"",""hasRelievedBuyPlugin"":""Boolean"",""liteAppId"":""String"",""videoButtonText"":""String"",""androidVersionBegin"":""String"",""handleWebviewPreload"":""String"",""videoPath"":""String"",""thumbDataHash"":""String"",""navigationBarRightButton"":""JSONObject"",""webViewUrl"":""String"",""window"":""JSONObject"",""page"":""JSONObject"",""to"":""String"",""webpageUrl"":""String""}"
"reportKeyValue","0x3f","< Application, Lhu0/p, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lhu0/p>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""dataArray"":""JSONArray"",""Val"":""String"",""EndTime"":""Long"",""SvrType"":""Int"",""BucketSrc"":""Long"",""StartTime"":""Long"",""GroupId"":""Int"",""ExptCheckSum"":""String"",""ExptType"":""Int"",""ExptSequence"":""Int"",""ExptId"":""Int"",""value"":""String"",""Key"":""String"",""key"":""Int""}"
"faceDetect","0x35d","< Application, Lzs0/h, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lzs0/h>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{}"
"private_openUrl","0x196","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/oa, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/oa>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""Val"":""String"",""commonUxInfo"":""String"",""EndTime"":""Long"",""SvrType"":""Int"",""StartTime"":""Long"",""BucketSrc"":""Long"",""url"":""String"",""GroupId"":""Int"",""ExptCheckSum"":""String"",""ExptType"":""Int"",""adInfo"":""String"",""ExptId"":""Int"",""ExptSequence"":""Int"",""Key"":""String""}"
"operateAudio","0x129","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/audio/b0, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/audio/b0>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""audioId"":""String"",""operationType"":""String""}"
"addPhoneContact","0xe2","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/contact/j, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/contact/j>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""mobilePhoneNumber"":""String"",""lastName"":""String"",""homePhoneNumber"":""String"",""nickName"":""String"",""hostNumber"":""String"",""remark"":""String"",""homeFaxNumber"":""String"",""title"":""String"",""url"":""String"",""photoFilePath"":""String"",""firstName"":""String"",""workPhoneNumber"":""String"",""organization"":""String"",""weChatNumber"":""String"",""middleName"":""String"",""email"":""String"",""workFaxNumber"":""String""}"
"hideNavigationBarLoading","0xa","< Application, Lzt0/j, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lzt0/j>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{}"
"reportCanvasData","0x2b0","< Application, Ljr0/e, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Ljr0/e>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""eventInfo"":""String""}"
"openDeliveryList","0xf7","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/s8, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/s8>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""query"":""String""}"
"installDownloadTask","0x1ba","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/appdownload/k0, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/appdownload/k0>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""appId"":""String"",""downloadId"":""Long""}"
