Name,Return Type,Class Name,Method Name,Super Class,Number of Args,Original Class
addDownloadTaskStraight,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/appdownload/v>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/appdownload/v>"
openWCPayLQTDetail,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/q9>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/q9>"
onBluetoothAdapterStateChange,,"<Application,Lds0/b0>",,,0,"<Application,Lds0/b0>"
getDeviceInfo,"<Primordial,V>","<Application,Lxs0/a>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lxs0/a>"
onSplashAdShow,,"<Application,Lcom/tencent/mm/plugin/appbrand/ad/jsapi/m>",,,0,"<Application,Lcom/tencent/mm/plugin/appbrand/ad/jsapi/m>"
getSystemInfo,,"<Application,Lmu0/a0>",,,0,"<Application,Lmu0/a0>"
private_openUrl,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/oa>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/oa>"
onNetworkWeakChange,,"<Application,Lmu0/b>",,,0,"<Application,Lmu0/b>"
getSkylineInfo,"<Primordial,V>","<Application,Lqd/b>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lqd/b>"
saveInitialRenderingCache,"<Primordial,V>","<Application,Lgu0/b>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lgu0/b>"
showToast,"<Primordial,V>","<Application,Lcu0/x>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcu0/x>"
