"Name","CtrlIndex","Method","Class","Superclass","Parameters"
"vibrateLong","0xe7","< Application, Lmu0/q0, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lmu0/q0>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{}"
"queryTrafficCardInfo","0x380","< Application, Lnu0/c, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lnu0/h>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""Val"":""String"",""deviceType"":""String"",""EndTime"":""Long"",""SvrType"":""Int"",""deviceData"":""JSONObject"",""BucketSrc"":""Long"",""StartTime"":""Long"",""GroupId"":""Int"",""ExptCheckSum"":""String"",""ExptType"":""Int"",""ExptSequence"":""Int"",""ExptId"":""Int"",""Key"":""String""}"
"requestWCPayRealnameVerify","0x4c5","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/pay/s1, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/pay/s1>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""Val"":""String"",""EndTime"":""Long"",""ExptCheckSum"":""String"",""SvrType"":""Int"",""ExptType"":""Int"",""StartTime"":""Long"",""BucketSrc"":""Long"",""ExptId"":""Int"",""ExptSequence"":""Int"",""Key"":""String"",""GroupId"":""Int""}"
"getIPAddress","0x420","< Application, Lmt0/k, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lmt0/k>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{}"
"setMapCenterOffset","0x2b2","< Application, Lit0/b, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lit0/u1>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""animated"":""Boolean"",""mapId"":""Int""}"
"preloadSkylineView","0xfffffffe","< Application, Lqd/e, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lqd/e>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{}"
"cropImage","0x48a","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/media/r4, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/media/r4>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""rendererOptions"":""JSONObject"",""customButtonIconData"":""String"",""renderer"":""String"",""singlePage"":""JSONObject"",""enableFullScreen"":""Boolean"",""skyline"":""JSONObject"",""sdkVersionEnd"":""String"",""navigationBarFit"":""String"",""sdkVersionBegin"":""String"",""homeButton"":""Boolean"",""androidVersionEnd"":""String"",""navigationBarBackgroundColor"":""String"",""navigationBarTitleText"":""String"",""height"":""Int"",""backgroundColor"":""String"",""navigationStyle"":""String"",""resizable"":""Boolean"",""src"":""String"",""androidVersionBegin"":""String"",""enablePullDownRefresh"":""Boolean"",""disableABTest"":""Boolean"",""backgroundTextStyle"":""String"",""visualEffectInBackground"":""String"",""handleWebviewPreload"":""String"",""hide"":""Boolean"",""navigationBarRightButton"":""JSONObject"",""navigationBarBackgroundAlpha"":""Double"",""pageOrientation"":""String"",""backgroundColorContent"":""String"",""disableSwipeBack"":""Boolean"",""navigationBarTextStyle"":""String"",""width"":""Int"",""window"":""JSONObject"",""page"":""JSONObject""}"
"setUserAutoFillData","0xcd","< Application, Lyr0/w0, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lyr0/w0>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""dataList"":""String"",""clientVersion"":""Int""}"
"getStorageInfo","0x71","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/storage/s, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/storage/s>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""storageId"":""Int""}"
"canvasToTempFilePath","0x64","< Application, Lqs0/i, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lzv0/a>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""width"":""Int"",""destWidth"":""String"",""fileType"":""String"",""destHeight"":""String"",""height"":""Int"",""quality"":""Double""}"
